celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
disease_a_gene,Disease,gene,medio,C1563730,8,0.125,0.128875,0.021664703436696287,-0.1788623606744787,1.0
disease_a_gene,Disease,gene,medio,C2930975,8,0.5,0.12875,0.02132340263653998,17.410448338288308,0.0
disease_a_gene,Disease,gene,medio,C0019196,14,0.14285714285714285,0.07807142857142854,0.02123135436478948,3.051416936130852,0.091
disease_a_gene,Disease,gene,medio,C3887461,10,0.6,0.10620000000000002,0.02648697793256151,18.64312347211766,0.0
disease_a_gene,Disease,gene,medio,C0265965,15,0.4666666666666667,0.0744,0.021964010967438934,17.859518794094196,0.0
disease_a_gene,Disease,gene,medio,C0340543,16,0.25,0.06975,0.020967236346261756,8.596745752433735,0.0
disease_a_gene,Disease,gene,medio,C0423711,13,0.15384615384615385,0.08353846153846152,0.022637351968417416,3.1058267064885667,0.082
disease_a_gene,Disease,gene,medio,C1565951,12,0.3333333333333333,0.08833333333333332,0.019790570145063194,12.37963323967783,0.0
disease_a_gene,Disease,gene,medio,C0751036,8,0.25,0.129375,0.023642850399222173,5.101965201453394,0.034
disease_a_gene,Disease,gene,medio,C0038358,16,0.125,0.0716875,0.024318122743131304,2.1922950452685828,0.135
disease_a_gene,Disease,gene,medio,C0266508,11,0.09090909090909091,0.09754545454545453,0.02500760214993145,-0.2653738489830306,1.0
disease_a_gene,Disease,gene,medio,C0030569,12,0.16666666666666666,0.09049999999999998,0.02423897229211209,3.1423224445639155,0.083
disease_a_gene,Disease,gene,medio,C0750937,14,0.14285714285714285,0.07849999999999997,0.022038810849804694,2.9201731116864322,0.096
disease_a_gene,Disease,gene,medio,C0085207,9,0.2222222222222222,0.11622222222222225,0.02530895513205836,4.188240859684161,0.042
disease_a_gene,Disease,gene,medio,C0178824,13,0.07692307692307693,0.08369230769230768,0.023364363700393395,-0.289724593232418,1.0
disease_a_gene,Disease,gene,medio,C0005910,13,0.15384615384615385,0.08323076923076919,0.02192995843413929,3.2200418814043315,0.079
disease_a_gene,Disease,gene,medio,C0029124,10,0.2,0.10640000000000002,0.026058395959843727,3.5919325250962726,0.06
disease_a_gene,Disease,gene,medio,C0457190,12,0.3333333333333333,0.08983333333333332,0.02470886030916395,9.854764523869658,0.002
disease_a_gene,Disease,gene,medio,C0205875,11,0.2727272727272727,0.09727272727272725,0.0249130720109904,7.042670023879179,0.003
