id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL3990032,DRUGBANK:DB15104,TELISOTUZUMAB VEDOTIN,Telisotuzumab vedotin,3,333,2,True,True,False,False,False,False,telisotuzumab vedotin,Telisotuzumab vedotin,,,,,True,True
CHEMBL3990033,DRUGBANK:DB14901,INCLISIRAN,Inclisiran,9,2,2,True,True,False,False,False,False,inclisiran,Inclisiran,,,,,True,True
CHEMBL3990276,DRUGBANK:DB09511,TALC,Talc,6,53,2,True,True,False,False,False,False,talc,Talc,,,,,True,True
CHEMBL3991035,DRUGBANK:DB05630,SODIUM STIBOGLUCONATE,Sodium stibogluconate,9,1,2,True,True,False,False,False,False,sodium stibogluconate,Sodium stibogluconate,,,,,True,True
CHEMBL403664,DRUGBANK:DB00290,BLEOMYCIN,Bleomycin,39,1043,2,True,True,False,False,False,False,bleomycin,Bleomycin,,,,,False,True
CHEMBL4068108,CHEMBL4243974,CP-461,CP-461,6,6,2,True,True,False,False,False,False,cp 461,Cp 461,,,,,False,True
CHEMBL412262,DRUGBANK:DB05077,IBIPINABANT,SLV319,827,825,2,False,True,False,False,False,True,,Slv319,,,,0.995,True,True
CHEMBL414804,DRUGBANK:DB00526,OXALIPLATIN,Oxaliplatin,101,914,2,True,True,False,False,False,False,oxaliplatin,Oxaliplatin,,,,,False,True
CHEMBL4205783,CHEMBL4297293,JNJ-18038683,JNJ-18038683,3,3,2,True,True,False,False,False,False,jnj 18038683,Jnj-18038683,,,,,False,True
CHEMBL428647,RXNORM:56946,PACLITAXEL,paclitaxel,1646,16,2,True,True,False,False,False,False,paclitaxel,(-)-paclitaxel,,,,,True,True
CHEMBL4297087,DRUGBANK:DB13619,BORNAPRINE,Bornaprine,1,959,2,True,True,False,False,False,False,bornaprine,Bornaprine,,,,,True,True
CHEMBL4297101,DRUGBANK:DB14733,CEFTOBIPROLE MEDOCARIL,Ceftobiprole medocaril,2,17,2,True,True,False,False,False,False,ceftobiprole medocaril,Ceftobiprole medocaril,,,,,True,True
CHEMBL4297107,DRUGBANK:DB13541,IPRAZOCHROME,Iprazochrome,1,744,2,True,True,False,False,False,False,iprazochrome,Iprazochrome,,,,,True,True
CHEMBL4297166,DRUGBANK:DB06149,TEICOPLANIN,Teicoplanin,5,20,2,True,True,False,False,False,False,teicoplanin,Teicoplanin,,,,,True,True
CHEMBL4297240,DRUGBANK:DB15528,ONASEMNOGENE ABEPARVOVEC,Onasemnogene abeparvovec,4,13,2,True,True,False,False,False,False,onasemnogene abeparvovec,Onasemnogene abeparvovec,,,,,True,True
CHEMBL4297272,DRUGBANK:DB14098,COBALAMIN,Cobalamin,1,10,2,True,True,False,False,False,False,cobalamin,Cobalamin,,,,,True,True
CHEMBL4297298,CHEMBL4300557,KW-2478,KW-2478,3,3,2,True,True,False,False,False,False,kw 2478,Kw 2478,,,,,False,True
CHEMBL4297306,DRUGBANK:DB05819,NBI-6024,NBI-6024,1,576,2,True,True,False,False,False,False,nbi 6024,Nbi-6024,,,,,True,True
CHEMBL4297322,CHEMBL513994,PRX-08066,PRX-08066,746,1,2,True,True,False,False,False,False,prx 08066,Prx-08066,,,,,False,True
CHEMBL4297325,CHEMBL4301491,SIMMITECAN,SIMMITECAN,2,2,2,True,True,False,False,False,False,simmitecan,Simmitecan,,,,,False,True
CHEMBL4297332,CHEMBL4300049,UT-231B,UT-231B,2,2,2,True,True,False,False,False,False,ut 231b,Ut-231b,,,,,False,True
CHEMBL4297339,DRUGBANK:DB15873,COPPER OXODOTREOTIDE CU-64,Copper oxodotreotide Cu-64,2,5,2,True,True,False,False,False,False,copper oxodotreotide cu 64,Copper oxodotreotide Cu-64,,,,,True,True
CHEMBL4297340,DRUGBANK:DB15494,EDOTREOTIDE GALLIUM GA-68,Edotreotide gallium Ga-68,6,5,2,True,True,False,False,False,False,edotreotide gallium ga 68,Edotreotide Gallium Ga-68,,,,,True,True
CHEMBL4297345,CHEMBL561339,ADL-5747,ADL-5747,3,3,2,True,True,False,False,False,False,adl 5747,Adl-5747,,,,,False,True
CHEMBL4297364,DRUGBANK:DB12086,OXITROPIUM,Oxitropium,3,959,2,True,True,False,False,False,False,oxitropium,Oxitropium,,,,,False,True
CHEMBL4297417,CHEMBL74926,BUNTANETAP,PHENSERINE,287,287,2,False,True,False,False,False,True,,"Phenserine, (+)-",,,,0.973,False,True
