id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
HP_0011428,HP_0011431,Short fetal femur length,Fetal fifth finger clinodactyly,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
HP_0011429,HP_0011430,Short fetal humerus length,Hypoplasia of fetal nasal bone,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
HP_0011429,HP_0011431,Short fetal humerus length,Fetal fifth finger clinodactyly,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
HP_0011430,HP_0011431,Hypoplasia of fetal nasal bone,Fetal fifth finger clinodactyly,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
HP_0011489,HP_0011491,Abnormal migration of corneal endothelium,Reduced number of corneal endothelial cells,2,2,1,False,False,False,False,True,False,,,,,7d7b81b13ed62fd3482d2272b8a0a58bdff8a362,,False,False
HP_0011675,meddra:10003119,Arrhythmia,Arrhythmia,2186,1,1,True,False,False,False,False,False,arrhythmia,,,,,,True,True
HP_0011988,HP_0011989,Ectopic ossification in tendon tissue,Ectopic ossification in ligament tissue,2,2,1,False,False,False,False,True,False,,,,,d5ed0acf508743089bfe4578489631deeedc284e,,False,False
HP_0012069,HP_0012070,Keratan sulfate excretion in urine,Chondroitin sulfate excretion in urine,5,5,1,False,False,False,False,True,False,,,,,e92c0c19dcd31efb03924041e2f0465329626d95,,False,False
HP_0012115,meddra:10019717,Hepatitis,Hepatitis,2851,7,1,True,False,False,False,False,False,hepatitis,,,,,,True,True
HP_0012127,HP_6000119,Uraciluria,Elevated urinary dihydrothymine level,3,3,1,False,False,False,False,True,False,,,,,4b7bc7801cc5db67ea19da2e0bddd3cccc2e5a14,,False,False
HP_0012308,HP_0033058,Decreased circulating complement C9 concentration,Decreased circulating complement C7 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0012308,HP_0033059,Decreased circulating complement C9 concentration,Decreased circulating complement C6 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0012308,HP_0033060,Decreased circulating complement C9 concentration,Decreased circulating complement C5 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0012384,meddra:10039083,Rhinitis,Rhinitis,6,1,1,True,False,False,False,False,False,rhinitis,,,,,,True,True
HP_0012493,HP_0012494,Middle cerebral artery stenosis,Anterior cerebral artery stenosis,3,3,1,False,False,False,False,True,False,,,,,92949b66036ac3508caddb9ae067b10b565e80f3,,False,False
HP_0012493,HP_0012495,Middle cerebral artery stenosis,Posterior cerebral artery stenosis,3,3,1,False,False,False,False,True,False,,,,,92949b66036ac3508caddb9ae067b10b565e80f3,,False,False
HP_0012494,HP_0012495,Anterior cerebral artery stenosis,Posterior cerebral artery stenosis,3,3,1,False,False,False,False,True,False,,,,,92949b66036ac3508caddb9ae067b10b565e80f3,,False,False
HP_0012556,HP_0033301,Hyperbeta-alaninemia,Elevated circulating 1-methylhistidine concentration,2,2,1,False,False,False,False,True,False,,,,,91efe3434dfe8b57740606c233a95af014c40967,,False,False
HP_0012556,HP_0034741,Hyperbeta-alaninemia,Elevated circulating homoarginine concentration,2,2,1,False,False,False,False,True,False,,,,,91efe3434dfe8b57740606c233a95af014c40967,,False,False
HP_0020079,HP_0045034,Beta-alaninuria,Elevated urinary 3-aminoisobutyric acid,3,3,1,False,False,False,False,True,False,,,,,7fa7545680849846f40bf7ac24a9a9ec33782f9c,,False,False
HP_0025143,meddra:10008531,Chills,Chills,6,3,1,True,False,False,False,False,False,chills,,,,,,True,True
HP_0025339,HP_0025340,Superficial episcleral hyperemia,Deep episcleral hyperemia,2,2,1,False,False,False,False,True,False,,,,,683910082d0a7b11d29cf809de364c236e96577b,,False,False
HP_0025406,meddra:10003549,Asthenia,Asthenia,8,9,1,True,False,False,False,False,False,asthenia,,,,,,True,True
