id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad,grado_secundario
MONDO_0016294,Orphanet_2150,Hirschsprung disease-type D brachydactyly syndrome,Hirschsprung disease - type D brachydactyly,25,3,3,True,True,True,False,False,False,hirschsprung disease type d brachydactyly,Hirschsprung disease type d brachydactyly,Orphanet:2150,,,,True,True,3
MONDO_0016543,Orphanet_238583,hyperphenylalaninemia due to tetrahydrobiopterin deficiency,Hyperphenylalaninemia,77,253,3,False,True,True,True,False,False,,hyperphenylalaninemia,Orphanet:238583,C0751436,,,False,True,77
MONDO_0016758,Orphanet_2523,microcephaly-brain defect-spasticity-hypernatremia syndrome,Microcephaly - brain defect - spasticity - hypernatremia,11,85,3,True,True,True,False,False,False,microcephaly brain defect spasticity hypernatremia,microcephaly - brain defect - spasticity - hypernatremia,Orphanet:2523,,,,False,True,11
MONDO_0016764,Orphanet_2542,isolated anophthalmia-microphthalmia syndrome,Isolated anophthalmia - microphthalmia,344,303,3,True,True,True,False,False,False,isolated anophthalmia microphthalmia,isolated anophthalmia - microphthalmia,Orphanet:2542,,,,False,True,303
MONDO_0017123,Orphanet_2697,arthrogryposis-renal dysfunction-cholestasis syndrome,Arthrogryposis - renal dysfunction - cholestasis,21,85,3,True,True,True,False,False,False,arthrogryposis renal dysfunction cholestasis,arthrogryposis - renal dysfunction - cholestasis,Orphanet:2697,,,,False,True,21
MONDO_0017162,Orphanet_2759,imperforate oropharynx-costo vetebral anomalies syndrome,Imperforate oropharynx - costo vetebral anomalies,2,21,3,True,True,True,False,False,False,imperforate oropharynx costo vetebral anomalies,imperforate oropharynx-costo vetebral anomalies,Orphanet:2759,,,,True,True,2
MONDO_0017771,Orphanet_3109,Mayer-Rokitansky-Kuster-Hauser syndrome,Mayer-Rokitansky-Küster-Hauser syndrome,590,230,3,True,True,True,False,False,False,mayer rokitansky kuster hauser,Mayer-Rokitansky-Küster-Hauser Syndrome,Orphanet:3109,,,,False,True,230
MONDO_0017836,Orphanet_315,erythrokeratoderma en cocardes,"Erythrokeratoderma ""en cocardes""",1,35,3,True,True,True,False,False,False,erythrokeratoderma en cocardes,"erythrokeratoderma ""en cocardes""",Orphanet:315,,,,True,True,1
MONDO_0018214,Orphanet_36387,generalized epilepsy with febrile seizures plus,Generalized epilepsy with febrile seizures-plus,106,182,3,True,True,True,False,False,False,generalized epilepsy with febrile seizures plus,generalized epilepsy with febrile seizures plus,Orphanet:36387,,,,False,True,106
MONDO_0018266,Orphanet_370109,ataxia - telangiectasia variant,Ataxia-telangiectasia variant,12,11,3,True,False,True,False,False,True,ataxia telangiectasia variant,,Orphanet:370109,,,0.917,True,True,11
MONDO_0018306,Orphanet_381,Griscelli syndrome,Griscelli disease,554,497,3,True,True,True,False,False,False,griscelli,Griscelli disease,Orphanet:381,,,,False,True,497
MONDO_0018544,Orphanet_43,adrenoleukodystrophy,X-linked adrenoleukodystrophy,351,228,3,False,True,True,True,False,False,,X-Linked Adrenoleukodystrophy,Orphanet:43,C0162309,,,False,True,228
MONDO_0018866,Orphanet_51,Aicardi-Goutieres syndrome,Aicardi-Goutières syndrome,243,204,3,True,True,True,False,False,False,aicardi goutieres,Aicardi Goutieres syndrome,Orphanet:51,,,,False,True,204
MONDO_0019195,Orphanet_79091,hereditary inclusion body myopathy-joint contractures-ophthalmoplegia syndrome,Hereditary inclusion body myopathy - joint contractures - ophthalmoplegia,8,80,3,True,True,True,False,False,False,hereditary inclusion body myopathy joint contractures ophthalmoplegia,Hereditary inclusion body myopathy - joint contractures - ophthalmoplegia,Orphanet:79091,,,,False,True,8
MONDO_0019307,Orphanet_79402,generalized junctional epidermolysis bullosa non-Herlitz type,"Generalized junctional epidermolysis bullosa, non-Herlitz type",6,128,3,True,True,True,False,False,False,generalized junctional epidermolysis bullosa non herlitz type,"generalized junctional epidermolysis bullosa, non-Herlitz type",Orphanet:79402,,,,False,True,6
MONDO_0019402,Orphanet_848,beta thalassemia,Beta-thalassemia,1439,1027,3,True,False,True,True,False,False,beta thalassemia,,Orphanet:848,C0005283,,,False,True,1027
MONDO_0019666,Orphanet_93282,"spondyloepimetaphyseal dysplasia, PAPSS2 type","Spondyloepimetaphyseal dysplasia, Pakistani type",49,46,3,False,True,True,False,False,True,,spondyloepimetaphyseal dysplasia Pakistani type,Orphanet:93282,,,0.939,False,True,46
MONDO_0800044,Orphanet_404454,congenital disorder of deglycosylation 1,Alacrimia-choreoathetosis-liver dysfunction syndrome,85,79,3,False,True,True,False,False,True,,alacrimia - choreoathetosis - liver dysfunction syndrome,Orphanet:404454,,,0.929,False,True,79
EFO_0000616,MONDO_0045024,neoplasm,cancer or benign tumor,24477,22728,2,False,True,False,False,False,True,,neoplasm,,,,0.922,False,True,22728
EFO_0000712,MONDO_0005098,stroke,stroke disorder,2380,26,2,True,True,False,False,False,False,stroke,stroke,,,,,False,True,26
EFO_0003769,MONDO_0021069,endocrine neoplasm,malignant endocrine neoplasm,15428,14698,2,False,True,False,False,False,True,,endocrine neoplasm,,,,0.951,False,True,14698
EFO_0003818,MONDO_0021117,lung disease,lung neoplasm,15618,14285,2,False,True,False,False,False,True,,lung,,,,0.902,False,True,14285
EFO_0003857,MONDO_0015225,arthrogryposis,arthrogryposis syndrome,266,4756,2,True,True,False,False,False,False,arthrogryposis,arthrogryposis syndrome,,,,,False,True,266
EFO_0004606,MONDO_0005411,gallbladder neoplasm,gallbladder cancer,1934,1926,2,False,True,False,False,False,True,,gallbladder neoplasm,,,,0.965,False,True,1926
EFO_0005570,MONDO_0044925,oral cavity cancer,oral cavity carcinoma,6043,5840,2,False,True,False,False,False,True,,oral cavity cancer,,,,0.964,False,True,5840
EFO_0007318,MONDO_0017182,hyperinsulinemic hypoglycemia,familial hyperinsulinism,4923,4918,2,False,True,False,False,False,True,,hyperinsulinemic hypoglycemia,,,,0.996,False,True,4918
EFO_0007466,MONDO_0001502,retroperitoneal cancer,retroperitoneum carcinoma,3548,3515,2,False,True,False,False,False,True,,retroperitoneal cancer,,,,0.989,False,True,3515
EFO_0008559,MONDO_0001444,American trypanosomiasis,Chagas disease,238,951,2,False,True,False,True,False,False,,American trypanosomiasis,,C0041234,,,False,True,238
EFO_0009162,MONDO_0014866,"charcot-marie-tooth disease, axonal, type 2t",Charcot-Marie-Tooth disease axonal type 2T,19,17,2,True,True,False,False,False,False,charcot marie tooth disease axonal type 2t,"Charcot-Marie-Tooth disease, axonal, type 2T",,,,,False,True,17
EFO_0022093,MONDO_0012792,mitochondrial dna depletion syndrome 8b (mngie type),mitochondrial DNA depletion syndrome 8a,30,30,2,False,True,False,False,False,True,,mitochondrial DNA depletion syndrome 8B (Mngie type),,,,0.935,False,True,30
EFO_0700061,Orphanet_2680,hypomyelination neuropathy-arthrogryposis syndrome,Hypomyelination neuropathy - arthrogryposis,8,27,2,True,False,True,False,False,False,hypomyelination neuropathy arthrogryposis,,Orphanet:2680,,,,True,True,8
EFO_0700106,Orphanet_88637,hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,Hypomyelination - hypogonadotropic hypogonadism - hypodontia,31,76,2,True,False,True,False,False,False,hypomyelination hypogonadotropic hypogonadism hypodontia,,Orphanet:88637,,,,False,True,31
EFO_1000115,MONDO_0036915,Benign Ovarian Mucinous Tumor,benign ovarian mucinous tumor,15,8,2,True,True,False,False,False,False,benign ovarian mucinous tumor,benign ovarian mucinous tumor,,,,,False,True,8
